stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
0,49.0,44.0,19.0,33.0,36.0,15.0,49.0,pm10,baik
0,48.0,44.0,17.0,45.0,67.0,20.0,67.0,o3,sedang
0,59.0,44.0,23.0,39.0,70.0,20.0,70.0,o3,sedang
0,57.0,44.0,17.0,22.0,35.0,15.0,57.0,pm10,sedang
0,52.0,44.0,16.0,27.0,35.0,14.0,52.0,pm10,sedang
0,53.0,44.0,16.0,28.0,43.0,16.0,53.0,pm10,sedang
0,56.0,44.0,17.0,35.0,44.0,23.0,56.0,pm10,sedang
0,53.0,44.0,16.0,39.0,52.0,22.0,53.0,pm10,sedang
0,47.0,44.0,19.0,32.0,44.0,21.0,47.0,pm10,baik
0,48.0,44.0,17.0,26.0,54.0,17.0,54.0,o3,sedang
0,51.0,44.0,15.0,35.0,26.0,19.0,51.0,pm10,sedang
0,56.0,44.0,19.0,45.0,30.0,19.0,56.0,pm10,sedang
0,50.0,44.0,16.0,43.0,65.0,21.0,65.0,o3,sedang
0,38.0,44.0,11.0,32.0,29.0,11.0,44.0,pm25,baik
0,51.0,44.0,11.0,45.0,39.0,14.0,51.0,pm10,sedang
0,37.0,44.0,13.0,25.0,55.0,12.0,55.0,o3,sedang
0,25.0,44.0,11.0,18.0,50.0,17.0,50.0,o3,baik
0,24.0,44.0,10.0,18.0,51.0,13.0,51.0,o3,sedang
0,28.0,44.0,12.0,26.0,42.0,11.0,44.0,pm25,baik
0,36.0,44.0,13.0,34.0,42.0,22.0,44.0,pm25,baik
0,36.0,44.0,12.0,28.0,21.0,14.0,44.0,pm25,baik
0,31.0,44.0,14.0,26.0,49.0,16.0,49.0,o3,baik
0,51.0,44.0,16.0,32.0,50.0,15.0,51.0,pm10,sedang
0,49.0,44.0,14.0,25.0,34.0,11.0,49.0,pm10,baik
0,37.0,44.0,14.0,30.0,39.0,15.0,44.0,pm25,baik
0,41.0,44.0,14.0,30.0,30.0,18.0,44.0,pm25,baik
0,55.0,44.0,15.0,64.0,45.0,22.0,64.0,co,sedang
0,57.0,44.0,20.0,53.0,57.0,25.0,57.0,pm10,sedang
0,55.0,44.0,19.0,49.0,58.0,22.0,58.0,o3,sedang
0,57.0,44.0,21.0,49.0,32.0,22.0,57.0,pm10,sedang
0,32.0,44.0,15.0,20.0,46.0,11.0,46.0,o3,baik
0,50.0,44.0,18.0,36.0,51.0,22.0,51.0,o3,sedang
0,37.0,44.0,16.0,31.0,71.0,21.0,71.0,o3,sedang
0,62.0,44.0,21.0,35.0,78.0,28.0,78.0,o3,sedang
0,65.0,44.0,19.0,36.0,62.0,23.0,65.0,pm10,sedang
0,54.0,44.0,17.0,32.0,100.0,23.0,100.0,o3,sedang
0,56.0,44.0,18.0,41.0,67.0,20.0,67.0,o3,sedang
0,60.0,44.0,16.0,62.0,43.0,19.0,62.0,co,sedang
0,39.0,44.0,15.0,44.0,51.0,27.0,51.0,o3,sedang
0,54.0,44.0,22.0,39.0,63.0,23.0,63.0,o3,sedang
0,69.0,44.0,27.0,41.0,71.0,24.0,71.0,o3,sedang
